,id,overall_status,study_type,start_date,enrollment,title,date_processed,sponsors
56,NCT04181021,Enrolling by invitation,Interventional,"November 25, 2019",100,Evaluation of Values Clarification and Attitude Transformation Workshops on Abortion and Family Planning Service Provision and Client Experience in Socially Franchised Facilities in Ethiopia: A Cluster Randomized Study,"April 14, 2021",Ibis Reproductive Health
57,NCT04184895,Recruiting,Interventional,"October 7, 2020",28,"A Phase 1 Multiple Ascending Intradermal Dose Study to Assess the Safety, Tolerability and Immunological Response of ASP2390 in Adult Subjects Allergic to House Dust Mites","April 14, 2021","Astellas Pharma Global Development, Inc."
58,NCT04190368,Not yet recruiting,Interventional,"March 1, 2021",200,Team Clinic: Virtual Expansion of an Innovative Multi-Disciplinary Care Model for Middle School and High School Adolescents and Young Adults With Type 1 Diabetes,"April 14, 2021",Children's Hospital Los Angeles
59,NCT04193020,Recruiting,Observational [Patient Registry],"January 1, 2020",300,Impact of Lifestyle and Treatment on the Recurrency and Severity of Acute and Chronic Inflamatory Eye Diseases: Protocol on Prospective Cohort Study,"April 14, 2021",Wroclaw Medical University
60,NCT04199169,Recruiting,Interventional,"February 18, 2020",274,"A Phase 1 Randomized, Placebo-controlled, Observer-blind Trial to Assess the Safety and Immunogenicity of a Nipah Vaccine, HeV-sG-V (Hendra Virus Soluble Glycoprotein Vaccine), in Healthy Adults","April 14, 2021",Auro Vaccines LLC
61,NCT04209998,Recruiting,Observational,"January 16, 2020",300,"New Oxymetry Indices in Critical Limb Ischemia (French Original Title is ""Nouveaux Indices Oxymétriques Chez Les Patients Vus Pour Suspicion d'Ischémie Critique du membrE inférieur"")","April 14, 2021","University Hospital, Angers"
62,NCT04212442,Recruiting,Interventional,"January 13, 2020",70,Improving Aging in Place for Older Adults in Subsidized Housing,"April 14, 2021",University of Pennsylvania
63,NCT04225845,Recruiting,Interventional,"November 1, 2020",1250,The Economic Consequences of Loneliness Among the Elderly,"April 14, 2021","National Bureau of Economic Research, Inc."
64,NCT04231097,"Active, not recruiting",Interventional,"April 24, 2020",7,Mindfulness-Based Cognitive Therapy Delivered Via Group Videoconferencing for Acute Coronary Syndrome Patients With Depressive Symptoms,"April 14, 2021",Massachusetts General Hospital
65,NCT04233268,Recruiting,Observational,"April 6, 2020",250,RASCALS: Rapid Assay for Sick Children With Acute Lung Infection Study,"April 14, 2021",Cambridge University Hospitals NHS Foundation Trust
66,NCT04234815,Recruiting,Interventional,"February 28, 2020",1387,Evaluating Impacts of a Brief Psychosocial Workshop for Veterans and Their Families in Ukraine,"April 14, 2021",Johns Hopkins Bloomberg School of Public Health
67,NCT04237883,Completed,Interventional,"November 1, 2019",225,Effects of Social Comparison Performance Feedback on Primary Care Quality,"April 14, 2021","University of California, Los Angeles"
68,NCT04240886,Recruiting,Interventional,"January 4, 2020",50,"A Phase 2, Open-Label Study to Evaluate the Safety and Efficacy of APX001 in the Treatment of Patients With Invasive Mold Infections Caused by Aspergillus Species or Rare Molds","April 14, 2021",Amplyx Pharmaceuticals
69,NCT04244591,Completed,Interventional,"January 26, 2020",80,"Glucocorticoid Therapy for Critically Ill Patients With Severe Acute Respiratory Infections Caused by COVID-19: a Prospective, Randomized Controlled Trial","April 14, 2021",Peking Union Medical College Hospital
70,NCT04245631,Recruiting,Observational,"January 1, 2020",50,"Development of a Simple, Fast and Portable Recombinase Aided Amplification (RAA) Assay for 2019-nCoV","April 14, 2021",Beijing Ditan Hospital
71,NCT04247620,Enrolling by invitation,Interventional,"December 15, 2020",186,"DiaBetter Together: A Strengths-based, Peer Mentor Transition RCT for Young Adults With Type 1 Diabetes","April 14, 2021",Baylor College of Medicine
72,NCT04251767,Withdrawn,Interventional,"February 5, 2020",0,"Washed Microbiota Transplantation for Patients With 2019-nCoV Infection: a Randomized, Double-blind, Placebo-controlled Study","April 14, 2021",The Second Hospital of Nanjing Medical University
73,NCT04251871,Recruiting,Interventional,"January 22, 2020",150,"Effects of Traditional Chinese Medicines (TCMs) on Patients With COVID-19 Infection: A Perspective, Open-labeled, Randomized, Controlled Trial","April 14, 2021",Beijing 302 Hospital
74,NCT04252118,Recruiting,Interventional,"January 27, 2020",20,Safety and Efficiency of Mesenchymal Stem Cell in Treating Pneumonia Patients Infected With COVID-19,"April 14, 2021",Beijing 302 Hospital
75,NCT04252274,Recruiting,Interventional,"January 30, 2020",30,Efficacy and Safety of Darunavir and Cobicistat for Treatment of COVID-19,"April 14, 2021",Shanghai Public Health Clinical Center
76,NCT04252664,Suspended,Interventional,"February 12, 2020",308,"A Phase 3 Randomized, Double-blind, Placebo-controlled Multicenter Study to Evaluate the Efficacy and Safety of Remdesivir in Hospitalized Adult Patients With Mild and Moderate COVID-19.","April 14, 2021",Capital Medical University
77,NCT04254874,Recruiting,Interventional,"February 1, 2020",100,"An Open, Prospective/Retrospective, Randomized Controlled Cohort Study to Compare the Efficacy of Two Therapeutic Schemes(Abidol Hydrochloride,Abidol Hydrochloride Combined With Interferon Atomization)in the Treatment of 2019-nCoV Pneumonia.","April 14, 2021",Tongji Hospital
78,NCT04255017,Recruiting,Interventional,"February 1, 2020",400,"An Open, Prospective/Retrospective, Randomized Controlled Cohort Study to Compare the Efficacy of Three Antiviral Drugs(Abidol Hydrochloride, Oseltamivir and Lopinavir/Ritonavir) in the Treatment of 2019-nCoV Pneumonia.","April 14, 2021",Tongji Hospital
79,NCT04255940,Recruiting,Observational,"January 20, 2020",12000,Impact of a Novel Coronavirus (2019-nCoV) Outbreak on Public Anxiety and Cardiovascular Disease Risk in China,"April 14, 2021",Qilu Hospital of Shandong University
80,NCT04256395,Completed,Observational,"February 1, 2020",102456,Registry Study on the Efficacy of a Self-test and Self-alert Applet in Detecting Susceptible Infection of COVID-19 --a Population Based Mobile Internet Survey,"April 14, 2021",Beijing Tsinghua Chang Gung Hospital
81,NCT04257656,Terminated,Interventional,"February 6, 2020",237,"A Phase 3 Randomized, Double-blind, Placebo-controlled, Multicenter Study to Evaluate the Efficacy and Safety of Remdesivir in Hospitalized Adult Patients With Severe COVID-19.","April 14, 2021",Capital Medical University
82,NCT04259892,Recruiting,Observational,"February 4, 2020",345,Viral Excretion in Contact Subjects at High/Moderate Risk of Coronavirus 2019-nCoV Infection,"April 14, 2021","Institut National de la Santé Et de la Recherche Médicale, France"
83,NCT04260308,Recruiting,Observational,"February 3, 2020",30000,"A Survey of Psychological Status of Medical Workers and Residents in the Context of 2019 Novel Coronavirus Pneumonia in Wuhan, China","April 14, 2021",Huazhong University of Science and Technology
84,NCT04260594,Not yet recruiting,Interventional,"February 7, 2020",380,"Randomized, Open, Multicenter Study on the Efficacy and Safety of Arbidol Hydrochloride Tablets in Treating Pneumonia in Patients Infected With Novel Coronavirus (2019-ncov).","April 14, 2021",Jieming QU
85,NCT04261270,Recruiting,Interventional,"February 1, 2020",60,"A Randomized,Open,Controlled Small Sample Clinical Study to Evaluate the Efficacy and Safety of ASC09/Ritonavir Compound Tablets and Ritonavir for 2019-nCoV Pneumonia","April 14, 2021",Tongji Hospital
86,NCT04261426,Not yet recruiting,Interventional,"February 10, 2020",80,"A Randomized, Open-label, Controlled, Single-center Study to Evaluate the Efficacy of Intravenous Immunoglobulin Therapy in Patients With Severe 2019- nCoV Pneumonia","April 14, 2021",Peking Union Medical College Hospital
87,NCT04261517,Completed,Interventional,"February 6, 2020",30,Efficacy and Safety of Hydroxychloroquine for Treatment of COVID-19,"April 14, 2021",Shanghai Public Health Clinical Center
88,NCT04261907,Not yet recruiting,Interventional,"February 7, 2020",160,"A Randomized, Open-label, Multi-centre Clinical Trial Evaluating and Comparing the Safety and Efficiency of ASC09/Ritonavir and Lopinavir/Ritonavir for Confirmed Cases of Pneumonia Caused by Novel Coronavirus Infection","April 14, 2021",First Affiliated Hospital of Zhejiang University
89,NCT04262921,Recruiting,Observational,"February 8, 2020",5000,Clinical Characterisation Protocol for Severe Emerging Infections,"April 14, 2021","Institut National de la Santé Et de la Recherche Médicale, France"
90,NCT04263402,Recruiting,Interventional,"February 1, 2020",100,"An Open, Prospective/Retrospective, Randomized Controlled Cohort Study to Compare the Efficacy of Different Hormone Doses in the Treatment of 2019-nCoV Severe Pneumonia","April 14, 2021",Tongji Hospital
91,NCT04264533,Terminated,Interventional,"February 14, 2020",56,Vitamin C Infusion for the Treatment of Severe 2019-nCoV Infected Pneumonia: a Prospective Randomized Clinical Trial,"April 14, 2021",ZhiYong Peng
92,NCT04264858,Not yet recruiting,Interventional,"March 17, 2020",10,An Exploratory Clinical Study on the Treatment of Acute Severe 2019-nCoV Pneumonia With Immunoglobulin From Cured 2019-nCoV Pneumonia Patients,"April 14, 2021","Wuhan Union Hospital, China"
93,NCT04268537,Not yet recruiting,Interventional,"February 10, 2020",120,Immunoregulatory Therapy for 2019-nCoV-induced Severe Pneumonia Patients,"April 14, 2021","Southeast University, China"
94,NCT04269525,Recruiting,Interventional,"February 6, 2020",16,Clinical Research Regarding the Availability and Safety of UC-MSCs Treatment for Serious Pneumonia and Critical Pneumonia Caused by the 2019-nCOV Infection,"April 14, 2021",ZhiYong Peng
95,NCT04270383,Not yet recruiting,Observational,"February 15, 2020",500,A Multicenter Observational Study About the Clinical Characteristics and Long-term Prognosis of 2019-nCoV Infection in Children,"April 14, 2021",Beijing Children's Hospital
96,NCT04272710,Withdrawn,Observational,"January 25, 2020",0,Prognostic Characteristics Difference Between the Hypertension Patients With and Without ACEI Treatment When Suffered With 2019-nCoV Infection in China,"April 14, 2021",Chongqing Medical University
97,NCT04273321,Completed,Interventional,"February 14, 2020",86,Efficacy and Safety of Corticosteroids in COVID-19: A Prospective Randomized Controlled Trails,"April 14, 2021",Beijing Chao Yang Hospital
98,NCT04273529,Not yet recruiting,Interventional,"February 20, 2020",100,"The Efficacy and Safety of Thalidomide in the Adjuvant Treatment of Moderate New Coronavirus (COVID-19) Pneumonia: a Prospective, Multicenter, Randomized, Double-blind, Placebo, Parallel Controlled Clinical Study","April 14, 2021",First Affiliated Hospital of Wenzhou Medical University
99,NCT04273581,Not yet recruiting,Interventional,"February 18, 2020",40,"The Efficacy and Safety of Thalidomide Combined With Low-dose Hormones in the Treatment of Severe New Coronavirus (COVID-19) Pneumonia: a Prospective, Multicenter, Randomized, Double-blind, Placebo, Parallel Controlled Clinical Study","April 14, 2021",First Affiliated Hospital of Wenzhou Medical University
100,NCT04273646,Not yet recruiting,Interventional,"April 20, 2020",48,Clinical Study of Human Umbilical Cord Mesenchymal Stem Cells in the Treatment of Severe COVID-19,"April 14, 2021","Wuhan Union Hospital, China"
101,NCT04273763,"Active, not recruiting",Interventional,"February 16, 2020",18,Evaluating the Efficacy and Safety of Bromhexine Hydrochloride Tablets Combined With Standard Treatment/ Standard Treatment in Patients With Suspected and Mild Novel Coronavirus Pneumonia (COVID-19),"April 14, 2021",Second Affiliated Hospital of Wenzhou Medical University
102,NCT04274322,"Active, not recruiting",Observational,"February 19, 2020",117,Identifying Critically-ill Patients With COVID-19 Who Will Benefit Most From Nutrition Support Therapy: Validation of the NUTRIC Nutritional Risk Assessment Tool (COV_NUTRIC),"April 14, 2021",Peking University Third Hospital
103,NCT04274621,Completed,Observational,"February 14, 2020",572,"The Application Value of Non-contact Infrared Thermometers in Temperature Screening in the General Population: a Real-world, Prospective, Observational Study","April 14, 2021",Ningbo No. 1 Hospital
104,NCT04275245,Completed,Interventional,"February 3, 2020",17,"Single Center, Single Arm, Open Clinical Study to Access Safety and Initial Efficacy of Anti-CD147 Humanized Meplazumab for Injection to Treat With 2019-nCoV Pneumonia","April 14, 2021",Tang-Du Hospital
105,NCT04275388,Not yet recruiting,Observational,"May 15, 2020",426,Retrospective Cohort to Evaluate the Effectiveness and Safety of Xiyanping Injection Combined With Conventional Treatment for New Coronavirus Infection Pneumonia (Common Type),"April 14, 2021",Jiangxi Qingfeng Pharmaceutical Co. Ltd.
106,NCT04275414,Completed,Interventional,"February 15, 2020",27,Effecacy and Safety of Bevacizumab in Severe Patients With Covid-19: a Pilot Study (BEST-CP),"April 14, 2021",Qilu Hospital of Shandong University
107,NCT04275947,Recruiting,Observational,"February 14, 2020",450,"The COVID-19 Mobile Health Study, a Large-scale Clinical Observational Study Using nCapp","April 14, 2021",Chinese Alliance Against Lung Cancer
108,NCT04276688,Completed,Interventional,"February 10, 2020",127,"An Open-label Randomized Controlled Trial on Lopinavir/ Ritonavir, Ribavirin and Interferon Beta 1b Combination Versus Lopinavir/ Ritonavir Alone, as Treatment for 2019 Novel Coronavirus Infection","April 14, 2021",The University of Hong Kong
109,NCT04276896,Recruiting,Interventional,"March 24, 2020",100,Phase I/II Multicenter Trial of Lentiviral Minigene Vaccine (LV-SMENP) of Covid-19 Coronavirus,"April 14, 2021",Shenzhen Geno-Immune Medical Institute
110,NCT04276987,Completed,Interventional,"February 15, 2020",24,A Pilot Clinical Study on Aerosol Inhalation of the Exosomes Derived From Allogenic Adipose Mesenchymal Stem Cells in the Treatment of Severe Patients With Novel Coronavirus Pneumonia,"April 14, 2021",Ruijin Hospital
111,NCT04278404,Recruiting,Observational,"March 5, 2020",5000,"Pharmacokinetics, Pharmacodynamics, and Safety Profile of Understudied Drugs","April 14, 2021",Duke University
112,NCT04278963,Suspended,Interventional,"February 27, 2020",300,"Adaptive, Randomized, Single-blind, Three-arm Parallel Controlled Clinical Trial of Yinhu Qingwen Decoction in the Treatment of Mild / Common CoVID-19","April 14, 2021",China Academy of Chinese Medical Sciences
113,NCT04279197,Recruiting,Interventional,"April 23, 2020",160,The Efficacy of Treating Pulmonary Fibrosis and Pulmonary Function Injury in COVID-19 With the Fuzheng Huayu Tablets: a Multicenter Randomized Controlled Trial,"April 14, 2021",ShuGuang Hospital
114,NCT04279782,Recruiting,Observational,"January 20, 2020",100,Investigation on Clinical Features of Suspected and Confirmed Patients of 2019 Novel Coronavirus Infection in Isolation Unit,"April 14, 2021","Third Affiliated Hospital, Sun Yat-Sen University"
115,NCT04279795,Recruiting,Observational,"January 20, 2020",20,Study on Detection of 2019 Novel Coronavirus in Multiple Organ System and Its Relationship With Clinical Manifestations in Patients,"April 14, 2021","Third Affiliated Hospital, Sun Yat-Sen University"
116,NCT04279899,Recruiting,Observational,"February 1, 2020",100,A Multicenter Observational Study of the Perinatal-neonatal Population With or With Risk of COVID-19 in China,"April 14, 2021",Children's Hospital of Fudan University
117,NCT04280224,Recruiting,Interventional,"February 15, 2020",30,Clinical Investigation of Natural Killer Cells Treatment in Pneumonia Patients Infected With 2019 Novel Coronavirus,"April 14, 2021",Xinxiang medical university
118,NCT04280588,Withdrawn,Interventional,"February 22, 2020",0,Efficacy of Fingolimod in the Treatment of New Coronavirus Pneumonia (COVID-19),"April 14, 2021",First Affiliated Hospital of Fujian Medical University
119,NCT04280705,Completed,Interventional,"February 21, 2020",1062,"A Multicenter, Adaptive, Randomized Blinded Controlled Trial of the Safety and Efficacy of Investigational Therapeutics for the Treatment of COVID-19 in Hospitalized Adults","April 14, 2021",National Institute of Allergy and Infectious Diseases (NIAID)
120,NCT04280913,Withdrawn,Observational,"February 22, 2020",0,Clinical Outcomes of Hospitalized Patients With Coronavirus Disease 2019,"April 14, 2021",Guangzhou Institute of Respiratory Disease
121,NCT04281693,Not yet recruiting,Interventional,February 2020,230,Identification of a New Screening Strategy for 2019 Novel Coronavirus Infection,"April 14, 2021",Affiliated Hospital to Academy of Military Medical Sciences
122,NCT04282135,Completed,Observational,"February 15, 2020",76,Detection of Influenza or SARS-CoV-2 Infection by IMS of Nasal Air Sampling,"April 14, 2021",Klinikum Bayreuth GmbH
